Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,Alvo
2015-01-02,9.470039367675781,9.78925358239698,9.32225473757163,9.540975358721715,19396500,,ABEV3.SA,1.0
2015-01-05,9.298605918884277,9.440479550482273,9.186289881112383,9.405011001644409,13795900,-0.01810271764831939,ABEV3.SA,1.0
2015-01-06,9.653290748596191,9.706493298774266,9.198114439718259,9.29860745657806,18610500,0.038143871544399355,ABEV3.SA,1.0
2015-01-07,9.789250373840332,9.883832415905891,9.540972231541522,9.65920034787691,20493500,0.014084277453666472,ABEV3.SA,1.0
2015-01-08,10.379118919372559,10.46697080772624,10.203413945772981,10.310091751727686,9054500,0.06025676359331089,ABEV3.SA,1.0
2015-01-09,10.35401725769043,10.448144447927364,10.228513539446407,10.335191340886178,11695700,-0.0024184771248045855,ABEV3.SA,1.0
2015-01-12,10.485794067382812,10.554821225409691,10.297539705172108,10.38539158128483,11265500,0.012727118992824415,ABEV3.SA,1.0
2015-01-13,10.485794067382812,10.661499016500303,10.45441873931171,10.479519959282229,19614100,0.0,ABEV3.SA,1.0
2015-01-14,10.517169952392578,10.542269973943753,10.372841537020394,10.372841537020394,9324100,0.0029922278473275554,ABEV3.SA,1.0
2015-01-15,10.535992622375488,10.661495085275279,10.423039567941553,10.47324079247979,12612300,0.0017897086448268595,ABEV3.SA,1.0
2015-01-16,10.611300468444824,10.667777030830019,10.473247314221211,10.50462265026083,9191600,0.007147674525644909,ABEV3.SA,1.0
2015-01-19,10.416769027709961,10.60502340657355,10.379118391315673,10.548546853536042,6363500,-0.01833247878649258,ABEV3.SA,1.0
2015-01-20,10.605023384094238,10.636399911766429,10.473245558547484,10.529722111465277,7114500,0.018072240623123736,ABEV3.SA,1.0
2015-01-21,10.724250793457031,10.793277950994232,10.567371760430325,10.636398917967526,9327600,0.011242540920901156,ABEV3.SA,1.0
2015-01-22,10.84347915649414,10.918780421829137,10.655223599372583,10.793277913973464,13341900,0.011117640321303579,ABEV3.SA,0.0
2015-01-23,10.686600685119629,10.799552589052812,10.661499464095302,10.699150098739697,7567000,-0.014467540271016932,ABEV3.SA,1.0
2015-01-26,10.661497116088867,10.743074869559774,10.548544040139507,10.592469970366073,7286700,-0.002349069621897293,ABEV3.SA,1.0
