Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Selic_Aceleracao,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Line,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag2,Target_Real,Target_Previsto,Split
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.14181734601522805,0.10904430950406795,0.5532867004088712,0.0,0,Treino
-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,0.017901545313886835,-0.13842194366322783,0.029655632501351545,0.5636962939097893,0.0,0,Treino
-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,0.017901545313886835,-0.14191576232942354,-0.026568967107004276,0.5199293956179805,0.0,0,Treino
-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,0.017901545313886835,-0.13193185481404157,-0.0666476540046962,0.41961101433377485,0.0,0,Treino
-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,-0.0017939714920095493,-0.11727701760740969,-0.1146161828781241,0.391016570801011,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.10999039319737507,-0.1446505063359463,0.6401187650131492,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.11268430438724895,-0.1653903379411321,0.35204331126296,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.10900667785415091,-0.18182010418747868,0.1563699118302704,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.115364345300874,-0.18266290100059038,0.21585310074285396,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.14064765268299545,-0.20074714898637097,0.1652255860645201,0.0,0,Treino
-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.12176529449698086,-0.2275583468547222,0.13274813443912362,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.11716551491506301,-0.267194870461155,0.014645105504897796,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.09081076212391084,-0.30329508866286137,0.11539189935095602,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.05678667096666856,-0.3130265038491672,0.13106074458235495,0.0,0,Treino
-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.02319102320749238,-0.33802670944487984,0.17690244495097118,0.0,0,Treino
0.017613861727941087,-0.025163908331441096,0.4184019057284378,-0.9215795290314013,1.1594645309257614,-0.001793971492013048,0.033883874550450895,-0.3495791693949553,0.1133880938702233,0.0,0,Treino
0.03742123052038298,0.0034725242120892223,0.4266125504214819,-0.9027611509680993,1.1617156545486118,0.03759706211977972,0.0473856314416531,-0.32628069776095564,-0.00013031225004625472,0.0,0,Treino
0.03742123052038298,-0.025163908331441096,0.4266125504214819,-0.9027611509680993,1.1617156545486118,0.03759706211977972,0.028931746491565692,-0.29840715913897553,0.03929974551445825,0.0,0,Treino
0.9881749325576151,-0.13970963850556245,0.820723495687608,0.0005209960704125774,1.2810252065596894,0.9632863519969342,-0.03593267932814508,-0.24879225905355934,-0.09691815981125872,0.0,0,Treino
0.9881749325576151,0.14665468692974087,0.820723495687608,0.0005209960704125774,1.2697695884454367,0.9829818688028271,-0.036193347034999566,-0.2287711281519271,-0.23085327532173924,0.0,0,Treino
0.9881749325576151,-0.025163908331441096,0.820723495687608,0.0005209960704125774,1.2697695884454367,0.9829818688028271,-0.04151668995687321,-0.2009808551030091,-0.4503839154053019,0.0,0,Treino
0.9881749325576151,-0.025163908331441096,0.820723495687608,0.9414398992355284,1.2697695884454367,1.0026773856087272,-0.0871793322112786,-0.18430503983167051,-0.24638048177930538,0.0,0,Treino
0.9881749325576151,0.0034725242120892223,0.820723495687608,0.9414398992355284,1.2697695884454367,0.9829818688028271,-0.1349176002420776,-0.1597670876365297,-0.31156886133543144,0.0,0,Treino
0.9881749325576151,-0.025163908331441096,0.820723495687608,0.9414398992355284,1.2697695884454367,0.9829818688028271,-0.16224621849787577,-0.1478074470288751,-0.6325384970604406,0.0,0,Treino
