DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Signal,Brent_Retorno_63d,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag3,WTI_Retorno_63d_lag3,BTC_Retorno_63d_lag2,BTC_Volatilidade_21d_lag3,Target_Real,Target_Previsto,Split
1.4909218036995004,-0.3398298224765359,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,0.018027980519067323,-0.16421668773540385,-0.1372968127166101,0.25281818913004916,-0.06652746258126531,0.5196608002428643,-0.2559166888809344,-0.6086659611802199,-0.35412705796212346,0.0,0,Treino
1.488336078559537,-0.3420884333126999,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,-0.0016532924023232344,-0.18062409810976587,-0.13548265083296973,0.3874169429251188,-0.11445888851010386,0.41936783572375047,0.07678941002969979,-0.7129263589049256,-0.35620029479373844,0.0,0,Treino
1.4805789031396464,-0.34886426582119173,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.1814659612727311,-0.13247057082549307,0.48034843795889287,-0.14446983182557943,0.39077729795964494,-0.023147967605060212,-0.7574120678262064,-0.5079046513298927,0.0,0,Treino
1.4779931779996829,-0.3511228766573557,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.1995257808154538,-0.13063790835583078,0.8249289998155064,-0.16519342581303362,0.6398266688041885,-0.052857510609850125,-0.7491228894186296,-0.5173806304730908,0.0,0,Treino
1.4754074528597194,-0.35338148749351966,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.22630020466441383,-0.12838394792370889,1.110070286098669,-0.1816105749043134,0.3518119293678603,0.0009644391891396514,-0.8432111873119573,-0.5232244194473091,0.0,0,Treino
1.472821727719756,-0.35564009832968363,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.26588186329304764,-0.12794256117515757,0.8639021848400168,-0.1824529377602125,0.15617993067838268,0.05690651135966493,-0.7723601782150009,-0.46577999585954005,0.0,0,Treino
1.4702360025797925,-0.35789870916584754,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.3019323049008487,-0.13300525767863616,1.2750724325829739,-0.20052347681723393,0.21564996704167935,0.3677304969802115,-0.5007272103352711,-0.47390691157688863,0.0,0,Treino
1.462478827159902,-0.36467454167433944,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.3116504429297029,-0.1330108742952841,1.2725369896719327,-0.22731379278619046,0.16503545469526856,0.6366922682501971,-0.04073647795505217,-0.46631421672923123,0.0,0,Treino
1.4598931020199386,-0.36693315251050335,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.336616187709467,-0.13203007449638413,1.1050940043681257,-0.2669189453459032,0.13256277132378388,0.41639157522356623,-0.3888412327013365,-0.4263478206364698,0.0,0,Treino
1.4573073768799751,-0.3691917633466673,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.3481525275128138,-0.12560028545626295,1.0406780468963943,-0.3029907849097235,0.014483694241936462,0.548572456864777,-0.361625445749216,-0.8121221709388231,0.0,0,Treino
1.4547216517400117,-0.3714503741828313,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.021334565323717285,-0.32488631533972506,-0.11316840975495558,1.3002188770960685,-0.3127146911977406,0.1152080852597789,0.3722820844131738,-0.3082439112209704,-0.8326316225932071,0.0,0,Treino
1.452135926600048,-0.3737089850189952,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.0016532924023267305,-0.2970512268361948,-0.09602664843532441,1.306654302349241,-0.3376952545451826,0.13087705179973985,0.49639837545057686,-0.43612402031648195,-0.6971665763121497,0.0,0,Treino
1.4443787511801576,-0.3804848175274871,0.017321908858282803,-0.026151945661742258,0.4192821985889804,1.1614808041410087,-0.0016532924023267305,-0.2475044701871649,-0.0700877365179171,1.3437125465244024,-0.3492384418122697,0.17670592347138245,0.4373835891294968,-0.46599903480499444,-0.7253054671785283,0.0,0,Treino
