Close,High,Low,Open,Volume,Retorno_Diario,Alvo
PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,,
2.5725085735321045,2.7456582268624126,2.56976036603809,2.7456582268624126,49559500,,-1.0
2.3526365756988525,2.525785991075337,2.3443911657410967,2.5120441653627923,78385100,-0.08546987951583906,-1.0
2.6137356758117676,2.6137356758117676,2.4543280568766352,2.5285349253629894,50813100,0.03033601609620118,-1.0
2.8116204738616943,2.874833976524212,2.740162084998183,2.775891410484208,74782400,0.033333368382996165,-1.0
2.742910146713257,2.8610917353160312,2.7154262331113843,2.778639470293364,43659400,-0.024437980796912284,-1.0
2.7868852615356445,2.8500985073656073,2.61923223856154,2.671452127133611,58750400,0.03153617211066395,-1.0
2.5037989616394043,2.621980559683112,2.4598244866766885,2.5917481736733814,106337900,-0.1015780246870488,-1.0
2.382869005203247,2.4955536557152675,2.2921715907858387,2.4873085077069206,111506300,-0.04829858878005777,-1.0
2.7401621341705322,2.7484072826280244,2.4763150245539003,2.4763150245539003,98061700,0.13424352516661475,-1.0
2.7539031505584717,2.962781823492511,2.6274764543073323,2.8308584511131176,117595000,0.005014672751143312,-1.0
2.7016844749450684,2.8281112268455173,2.665955147004881,2.7099296238209405,78992700,-0.018961696457195254,-1.0
2.5835018157958984,2.6027408381195114,2.3966103657280793,2.4185975951478227,72534200,0.030701143626350902,-1.0
2.7566521167755127,2.7758911437941087,2.6549610903659837,2.6604580301165863,72282500,0.06137557035604457,-1.0
2.7594010829925537,2.841853359322938,2.7511559339920835,2.7923819411029953,42896700,0.0009972118717165301,-1.0
2.668703317642212,2.740161965497903,2.652212759633773,2.7374134954784086,38492400,-0.0328686416445052,-1.0
2.6494648456573486,2.7209232393321847,2.619232196305921,2.6989360009539958,35272700,-0.007208921223158082,-1.0
2.7209229469299316,2.7209229469299316,2.6357224728976028,2.6522127688548474,48578000,0.04210515069800569,-1.0
2.5835018157958984,2.5835018157958984,2.4735656686971814,2.5010498365260854,96303900,-0.05050533727501838,-1.0
2.6247284412384033,2.6494641433845048,2.5010501926163813,2.5560182739918926,46969600,0.034669370168832314,-1.0
2.588998794555664,2.6687025679715624,2.5477728042782335,2.594495470942043,38009000,-0.013612702221446282,-1.0
2.630225658416748,2.69343916156032,2.6164838318324652,2.6632065140143997,42133600,0.01592386367571086,-1.0
2.547773599624634,2.597244750979422,2.5312830411006804,2.5862511326662987,48308500,-0.03134790299389978,-1.0
2.5395288467407227,2.578006651852044,2.517541604422426,2.5587678803506853,52913800,-0.0032360618247735395,-1.0
2.542276620864868,2.5697607972851984,2.520289384572017,2.528534532654703,27181900,0.0010820015404322536,-1.0
2.4515790939331055,2.5230377396834047,2.4460821540560733,2.509295652099344,37625700,-0.03567571136334802,-1.0
2.4021074771881104,2.4268431802934876,2.3581330103823275,2.3828687134877047,44035300,0.025821035056935004,-1.0
2.5285346508026123,2.553270358315,2.382869138028995,2.43234055305377,65324600,0.038374892213747236,-1.0
2.693438768386841,2.718174472001432,2.6192316575430667,2.6522125083263544,84659600,0.04033990824978395,-1.0
3.0012612342834473,3.012254854617107,2.874834469392072,2.913312271614172,61721500,0.019608106774939404,-1.0
3.6663758754730225,3.6773694956739438,3.4272644395215535,3.4904776901497048,103042800,0.07062593962374808,-1.0
3.5674326419830322,3.6636270048178474,3.4410061545328388,3.6416397668170704,109852700,-0.02698665844707615,-1.0
3.5591862201690674,3.6388899949396576,3.4410049237144773,3.465740361036281,71274400,-0.0023115844478512892,-1.0
3.5921685695648193,3.677369318600796,3.5784267415568016,3.6361430482510393,52514600,0.009266823188078366,-1.0
3.572929620742798,3.652633424875026,3.479483727186002,3.6251492460258903,65914800,-0.00535580345115938,-1.0
3.6333954334259033,3.787306133968824,3.616904870170571,3.6251500207439316,106143700,0.027195230766265066,-1.0
3.9659509658813477,4.015422108421046,3.757071993042875,3.76531713978141,76329800,0.04641019063276142,-1.0
3.7900538444519043,4.108869065148766,3.729588807458464,4.053900968840438,72197500,-0.04435181446837533,-1.0
3.754323720932007,3.8615116826057863,3.66362631571131,3.7928015112501976,44978900,-0.009427339290232317,-1.0
3.7845571041107178,3.8010474016798126,3.691111210857334,3.7598213956485216,28040500,0.01924480284825858,-1.0
3.773564100265503,3.864261806416763,3.746080177224207,3.7653189495639756,30765100,-0.002904700217965961,-1.0
3.8422739505767822,3.8835002245413888,3.7790606974497467,3.812041559356277,45346800,0.01820821072217771,-1.0
3.820286750793457,3.9109841875485234,3.7818092092056075,3.8752551166765468,49457700,-0.005722444590403164,-1.0
3.8587634563446045,3.880750691597171,3.740581870280673,3.825782603465756,54224100,0.01007167997092262,-1.0
3.7653186321258545,4.02641732060342,3.7158474699787805,4.023669112007011,82200400,-0.024216261316849397,-1.0
3.704853057861328,3.715846939110685,3.534451830124627,3.534451830124627,53682900,0.04984430979300836,-1.0
3.5921685695648193,3.75157618585665,3.5509425613236303,3.7158471185055224,53753700,-0.03041537317044285,-1.0
3.5262064933776855,3.5756779079291414,3.4959741078787636,3.567432497431538,24377600,-0.01836274520800818,-1.0
3.6004128456115723,3.6114064618166015,3.5317026788030192,3.6086579922382227,35341600,0.001529098027147846,-1.0
3.6773693561553955,3.704853274560674,3.5481941271140154,3.5839234569385914,49988000,0.02843977788268437,-1.0
3.6114063262939453,3.735084569486459,3.6059093873434676,3.710348868426261,40920200,-0.01793755901920413,-1.0
3.696608066558838,3.696608066558838,3.614155788434956,3.649885117692257,26832100,0.02359239934995827,-1.0
