DiasParaEleicaoBR,DiasParaEleicaoUSA,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Line,MACD_Signal,Brent_Retorno_63d,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag2,WTI_Retorno_63d_lag3,Target_Real,Target_Previsto,Split
1.4909218036995004,-0.3398298224765359,-0.05527186137452195,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,0.018027980519067323,-0.16421736195268555,-0.13117053091030823,-0.13731092548168583,0.25281818913004916,-0.06652801999565638,0.4199314587399739,-0.2559166888809344,0.0,0,Treino
1.488336078559537,-0.3420884333126999,-0.002164348327665111,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,-0.0016532924023232344,-0.18062458391824124,-0.11654322598652658,-0.13549694222995712,0.3874169429251188,-0.11445935477771484,0.391364330526647,0.07678941002969979,0.0,0,Treino
1.4805789031396464,-0.34886426582119173,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.18146624750839666,-0.10927042317959001,-0.13248509128586147,0.48034843795889287,-0.14447032111148958,0.6402192912073463,-0.023147967605060212,0.0,0,Treino
1.4779931779996829,-0.3511228766573557,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.19952620269163943,-0.1119595254976397,-0.1306526626263304,0.8249289998155064,-0.1651941004665945,0.35242922947990396,-0.052857510609850125,0.0,0,Treino
1.4754074528597194,-0.35338148749351966,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.22630044042954747,-0.10828814685797122,-0.12839888179306855,1.110070286098669,-0.1816110610369589,0.15695220406035698,0.0009644391891396514,0.0,0,Treino
1.472821727719756,-0.35564009832968363,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.2658823092922842,-0.11463374456953766,-0.12795755334517075,0.8639021848400168,-0.18245322420157628,0.2163736601754759,0.05690651135966493,0.0,0,Treino
1.4702360025797925,-0.35789870916584754,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.30193281253115584,-0.13986989649585505,-0.13301989418079008,1.2750724325829739,-0.20052389897932218,0.16580206666771613,0.3677304969802115,0.0,0,Treino
1.462478827159902,-0.36467454167433944,-0.0021643483276650374,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.31165104940077004,-0.12102358188604186,-0.13302555281188203,1.2725369896719327,-0.22731402872630596,0.13335539460385454,0.6366922682501971,0.0,0,Treino
1.4598931020199386,-0.36693315251050335,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.3366166705276382,-0.11643186444371553,-0.13204474711881745,1.1050940043681257,-0.266919391644237,0.015368888393355937,0.41639157522356623,0.0,0,Treino
1.4573073768799751,-0.3691917633466673,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.3481531210817565,-0.09012689206788999,-0.1256153417324293,1.0406780468963943,-0.3029912928750988,0.11601134443139426,0.548572456864777,0.0,0,Treino
1.4547216517400117,-0.3714503741828313,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.021334565323717285,-0.32488633005518686,-0.05616615851380824,-0.11318421354938028,1.3002188770960685,-0.31271529806237874,0.13167057147070288,0.3722820844131738,0.0,0,Treino
1.452135926600048,-0.3737089850189952,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.0016532924023267305,-0.29705106873626447,-0.022633387678035653,-0.09604354327143699,1.306654302349241,-0.33769573768310707,0.1774620499255491,0.49639837545057686,0.0,0,Treino
1.4443787511801576,-0.3804848175274871,0.0509431647191918,0.017321908858282803,-0.026151945661742258,0.4192821985889804,1.1614808041410087,-0.0016532924023267305,-0.24750433584872994,0.03433484315646544,-0.07010624461691062,1.3437125465244024,-0.34923903576650717,0.11401561885271737,0.4373835891294968,0.0,0,Treino
1.441793026040194,-0.382743428363651,-0.0021643483276650374,0.0371128892991527,0.0024156097597914476,0.42749003270280195,1.1637326070299954,0.03770925344045438,-0.22751061154660285,0.04781106329142976,-0.04646455549502399,1.1488024672751784,-0.32595843459685236,0.0006121659646674665,0.7038746228982113,0.0,0,Treino
1.4392073009002306,-0.38500203919981496,-0.0021643483276650374,0.0371128892991527,-0.026151945661742258,0.42749003270280195,1.1637326070299954,0.03770925344045438,-0.19975830611125972,0.029392176720673718,-0.0315036968288331,1.3992529733506802,-0.29810665149195664,0.04000274085656191,0.7290563297715549,0.0,0,Treino
1.4366215757602672,-0.3872606500359789,0.0509431647191918,0.9870799504609289,-0.14042216734787716,0.821466070166246,1.28307816014629,0.962729080745835,-0.1831048177272469,-0.035350001336991725,-0.0334279768092394,1.4032728162084098,-0.24853050984453767,-0.09608264843953238,0.7614130020268558,0.0,0,Treino
1.4340358506203037,-0.3895192608721429,-0.0021643483276650374,0.9870799504609289,0.14525338686746006,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.15860086213266478,-0.03561060858344647,-0.035023324272832515,0.9261180090923516,-0.22852491814767176,-0.22988107759182697,0.6570462394383659,0.0,0,Treino
1.4262786752004133,-0.39629509338063473,-0.0021643483276650374,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.14665767850800748,-0.040924315639622635,-0.03743986595638259,0.7421625519385019,-0.2007561401653165,-0.44919018989301196,0.9690322895451214,0.0,0,Treino
1.4236929500604498,-0.3985537042167987,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.1274598300222893,-0.08650199513944083,-0.049153573366277174,0.5252715880579155,-0.1840927670035882,-0.24539273723773294,1.048172596062675,0.0,0,Treino
1.4211072249204864,-0.4008123150529626,-0.0021643483276650374,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.11105526883473184,-0.13415091688822303,-0.06874947940546682,0.9129167274390416,-0.15957426693948606,-0.3105175658582294,0.6268158887417368,0.0,0,Treino
1.4185214997805227,-0.4030709258891266,-0.0021643483276650374,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.10794597993577952,-0.16142805525917234,-0.09027958131259711,0.4917398154062477,-0.14762399436669832,-0.6311662550832565,0.4875147531920241,0.0,0,Treino
1.4159357746405592,-0.40532953672529054,-0.0021643483276650374,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.09385297944491569,-0.1505234486313423,-0.10516365291542389,0.36796929229703856,-0.1284147508830961,-0.6295669328628465,0.29994163961445924,0.0,0,Treino
1.4081785992206688,-0.4121053692337824,-0.0021643483276650374,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.089210485939414,-0.16026366022987548,-0.1191610536177446,0.2830363954420486,-0.11200045267005063,-0.42142561650046045,0.7440573033541951,0.0,0,Treino
1.4055928740807053,-0.41436398006994635,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.0807325602821048,-0.17435437429505454,-0.13338268808861997,0.6110426863887121,-0.10888931823406062,-0.38432564496888805,0.40829693791376354,0.0,0,Treino
1.4030071489407419,-0.41662259090611026,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.07430842159568683,-0.18356268691923514,-0.14673599935338985,0.7811544389001606,-0.09478795275839695,-0.3514716904986617,0.33880444882404515,0.0,0,Treino
1.4004214238007784,-0.4188812017422742,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.053242573449854246,-0.15025721124249436,-0.15027165570149734,0.5310608417295833,-0.09014270367308581,-0.4058751668743579,0.23404152780153073,0.0,0,Treino
1.397835698660815,-0.4211398125784382,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.028948727841997205,-0.12701645210447088,-0.14811296676536803,0.4980694538180663,-0.08165974589225518,-0.412442643107463,0.5833631164046433,0.0,0,Treino
1.3900785232409245,-0.42791564508693003,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.018470986971646605,-0.0898777094160891,-0.13841644556409666,0.043194152916530976,-0.07523179411986601,-0.22271367373196252,0.6737429501806631,0.0,0,Treino
1.387492798100961,-0.430174255923094,-0.10837937442137886,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.0020116989103104426,-0.06349420312593616,-0.12499761524770225,0.033410824164747555,-0.05415344221376958,-0.12466549372856175,0.4146835384703204,0.0,0,Treino
1.3849070729609974,-0.43243286675925796,-0.10837937442137886,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.005481287211119745,-0.04432291393101558,-0.11014860094745924,0.13513440414011044,-0.02984517684843284,-0.06258981686231134,0.27148300935437136,0.0,0,Treino
1.3823213478210339,-0.43469147759542187,-0.10837937442137886,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.01733554622137641,-0.01255457058353544,-0.09145224871497239,0.24821115580404865,-0.019361216852270522,-0.09591209836890266,0.19424477061879694,0.0,0,Treino
1.3797356226810704,-0.43695008843158584,-0.05527186137452195,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,1.002091626588616,-0.022220514023556258,0.02623960530049114,-0.06817035892657437,0.27046144716549225,-0.0028921592819828273,0.03556889779733141,0.14939368807603257,0.0,0,Treino
