DiasParaEleicaoBR,DiasParaEleicaoUSA,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Signal,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag2,Target_Real,Target_Previsto,Split
1.494517066110062,-0.3326147149136946,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.06561472380182774,-0.12667008153672576,0.10904370453434997,0.5532844761635025,0.0,0,Treino
1.4919335076084193,-0.3348747100044558,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.1135528394744,-0.13167297100838724,0.029654842794431892,0.5636976218493122,0.0,0,Treino
1.4893499491067765,-0.3371347050952169,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.14356768524015903,-0.136424971205281,-0.026569704649307756,0.5199307169687024,0.0,0,Treino
1.4867663906051336,-0.33939470018597806,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.16429432951448084,-0.1380841830114992,-0.0666482767341202,0.41961321107469884,0.0,0,Treino
1.484182832103491,-0.34165469527673925,-0.0010468810726381738,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,-0.0017939714920095493,-0.180713557406724,-0.13626672442116444,-0.11461711767255635,0.3910178797831111,0.0,0,Treino
1.4764321565985625,-0.3484346805490227,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.18155619846618745,-0.13324919551882328,-0.14465120103460127,0.6401183087221021,0.0,0,Treino
1.4738485980969196,-0.35069467563978385,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.19962949367276642,-0.13141333600482652,-0.16539112976215745,0.3520419894352045,0.0,0,Treino
1.4712650395952769,-0.352954670730545,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.22642324268966477,-0.12915538483888364,-0.18182088132925084,0.1563690350536565,0.0,0,Treino
1.468681481093634,-0.3552146658213061,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.26603410324774085,-0.12871329777216983,-0.18266406246773523,0.21585222539679635,0.0,0,Treino
1.4660979225919912,-0.3574746609120673,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.3021113217580012,-0.1337854086697529,-0.2007489415005132,0.1652251491483293,0.0,0,Treino
1.4583472470870629,-0.36425464618435077,-0.0010468810726381,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.3118363545503336,-0.1337910710483227,-0.22755986359671357,0.1327476990789396,0.0,0,Treino
1.45576368858542,-0.3665146412751119,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.33682007677215564,-0.13280838120557134,-0.26719611218276423,0.014638596656583265,0.0,0,Treino
1.4531801300837772,-0.36877463636587304,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.34836505087367503,-0.1263667406000947,-0.3032964538824701,0.11538930557856379,0.0,0,Treino
1.4505965715821343,-0.37103463145663423,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,1.157213407302911,-0.02148948829790943,-0.3250815633872339,-0.1139121734266352,-0.31302771979877675,0.13106118887280763,0.0,0,Treino
1.4480130130804916,-0.37329462654739537,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,1.157213407302911,-0.001793971492013048,-0.2972260365695229,-0.09673906513327862,-0.3380274549885005,0.17689986127400995,0.0,0,Treino
1.4402623375755632,-0.38007461181967883,0.05221135039734758,0.017613861727941087,-0.025163908331441096,0.4184019057284378,1.1594645309257614,-0.001793971492013048,-0.24764287732411958,-0.07075269929866733,-0.34957982867996384,0.11338594777030403,0.0,0,Treino
1.4376787790739203,-0.38233460691043997,-0.0010468810726381,0.03742123052038298,0.0034725242120892223,0.4266125504214819,1.1617156545486118,0.03759706211977972,-0.22763426273561943,-0.04706622428800759,-0.3262814179673337,-0.00012857426219923854,0.0,0,Treino
1.4350952205722776,-0.3845946020012011,-0.0010468810726381,0.03742123052038298,-0.025163908331441096,0.4266125504214819,1.1617156545486118,0.03759706211977972,-0.1998615560035567,-0.032077023749826725,-0.2984080375386651,0.0393001885280085,0.0,0,Treino
1.4325116620706349,-0.3868545970919623,0.05221135039734758,0.9881749325576151,-0.13970963850556245,0.820723495687608,1.2810252065596894,0.9632863519969342,-0.1831960904246129,-0.034004983138712565,-0.24879309865969024,-0.09692030472159442,0.0,0,Treino
1.429928103568992,-0.38911459218272343,-0.0010468810726381,0.9881749325576151,0.14665468692974087,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.15867410040149604,-0.035603345722381406,-0.22877165982905678,-0.230854131047625,0.0,0,Treino
1.4221774280640636,-0.3958945774550069,-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.14672225426931368,-0.03802448130291587,-0.20098115256841403,-0.4503821966256309,0.0,0,Treino
1.4195938695624208,-0.398154572545768,-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,1.0026773856087272,-0.1275102959795143,-0.04976024326514281,-0.18430500549201306,-0.24638047732781237,0.0,0,Treino
1.417010311060778,-0.40041456763652916,-0.0010468810726381,0.9881749325576151,0.0034725242120892223,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.11109391658350506,-0.0693930942962481,-0.1597672984417999,-0.3115718724559675,0.0,0,Treino
1.4144267525591352,-0.40267456272729035,-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.10798242478719347,-0.09096391816668045,-0.14780779194072688,-0.6325367850180614,0.0,0,Treino
1.4118431940574923,-0.4049345578180515,-0.0010468810726381,0.9881749325576151,0.0034725242120892223,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.0938790513533206,-0.10587615489770931,-0.1285835200145248,-0.630938007332741,0.0,0,Treino
1.404092518552564,-0.41171454309033495,-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.08923299652170218,-0.11990005782522041,-0.11215661876936929,-0.4225880687325473,0.0,0,Treino
1.4015089600509212,-0.4139745381810961,-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,1.0026773856087272,-0.08074873784164552,-0.13414857787211146,-0.10904313270583768,-0.3854552285250883,0.0,0,Treino
1.3989254015492782,-0.4162345332718572,-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,1.0026773856087272,-0.07431973358340165,-0.14752713265533884,-0.09493071991169263,-0.35256705089693213,0.0,0,Treino
1.3963418430476355,-0.4184945283626184,-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,1.0026773856087272,-0.053238418608826596,-0.15106945135990327,-0.09028168725610435,-0.40702332907749905,0.0,0,Treino
1.3937582845459926,-0.42075452345337955,-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,1.0026773856087272,-0.0289262371476625,-0.14890654829081143,-0.08179199070891534,-0.41359695573827704,0.0,0,Treino
