Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Alvo
2015-01-02,24.192607879638672,24.659510070593672,23.754471558295847,24.64844536553832,212818400,,AAPL,1395,676,1.0
2015-01-05,23.51106071472168,24.042134423807454,23.32518584507189,23.96247328303275,257142000,-0.02817171130569207,AAPL,1392,673,1.0
2015-01-06,23.513275146484375,23.772173022582894,23.152586716885562,23.575233439406734,263188400,9.418680805439728e-05,AAPL,1391,672,1.0
2015-01-07,23.842981338500977,23.942556919376344,23.610636065476097,23.721276350109513,160423600,0.014022129625183233,AAPL,1390,671,1.0
2015-01-08,24.759078979492188,24.816612391422495,24.05319353108403,24.170473633005646,237458000,0.03842210955019798,AAPL,1389,670,1.0
2015-01-09,24.785627365112305,25.06001469123294,24.387321820553232,24.93167160595989,214798000,0.001072268707656976,AAPL,1388,669,1.0
2015-01-12,24.17490005493164,24.922827705158852,24.075324482860438,24.916189558785653,198603200,-0.024640381346179296,AAPL,1385,666,1.0
2015-01-13,24.389545440673828,24.960449733893075,24.099668425353194,24.657294735965763,268367600,0.008878853077136206,AAPL,1384,665,1.0
2015-01-14,24.29660415649414,24.44928658228224,24.00893877695945,24.12843047207833,195826400,-0.0038107017781763286,AAPL,1383,664,1.0
2015-01-15,23.637189865112305,24.354138422379428,23.601785852626346,24.340862128726783,240056000,-0.027140183341447854,AAPL,1382,663,1.0
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200,-0.007770142007045289,AAPL,1381,662,1.0
2015-01-20,24.05762481689453,24.112944961639695,23.566381661439586,23.86289682691998,199599600,0.02575729062859211,AAPL,1377,658,1.0
2015-01-21,24.241289138793945,24.57542161180635,23.958048567472943,24.10851943514098,194303600,0.0076343497455506615,AAPL,1376,657,1.0
2015-01-22,24.871931076049805,24.8874206451012,24.278899207996158,24.3983908927797,215185600,0.02601519802206509,AAPL,1375,656,1.0
2015-01-23,25.00027847290039,25.170663761693863,24.679420647171945,24.849807624202118,185859200,0.005160330995536366,AAPL,1374,655,1.0
2015-01-26,25.026830673217773,25.30564464790185,24.960447519022203,25.168450094718995,222460000,0.001062076182317906,AAPL,1371,652,1.0
2015-01-27,24.150564193725586,24.88964226473819,24.12622319302464,24.87636428093233,382274800,-0.03501308219701649,AAPL,1370,651,1.0
2015-01-28,25.51585578918457,26.137655187863214,25.51585578918457,26.029226519367846,585908400,0.05653249276112948,AAPL,1369,650,1.0
2015-01-29,26.310256958007812,26.374428518206834,25.571179064885065,25.739352750639867,337745600,0.031133628257922874,AAPL,1368,649,1.0
2015-01-30,25.92522430419922,26.553660116605485,25.85662620089734,26.199611652697993,334982000,-0.014634317499183758,AAPL,1367,648,1.0
2015-02-02,26.250513076782227,26.370004785647765,25.68624864341562,26.122171630877833,250956400,0.012547192215818903,AAPL,1364,645,1.0
2015-02-03,26.254941940307617,26.352304250420058,26.024809927632663,26.22174951466699,207662800,0.00016871531281825725,AAPL,1363,644,1.0
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800,0.007669512670075429,AAPL,1362,643,1.0
2015-02-05,26.6451358795166,26.70956070561401,26.49184916587451,26.662906901105913,168984800,0.007137479423386939,AAPL,1361,642,1.0
2015-02-06,26.420759201049805,26.71400223470758,26.31412460021994,26.662906100062138,174826400,-0.008420924535021301,AAPL,1360,641,1.0
2015-02-09,26.59626007080078,26.62291744894482,26.309681391456404,26.336340464499866,155559200,0.00664253696933903,AAPL,1357,638,1.0
2015-02-10,27.10721778869629,27.1360988800661,26.694013099240877,26.69623341788492,248034000,0.01921163789703173,AAPL,1356,637,1.0
2015-02-11,27.742576599121094,27.75146295792522,27.213850962022807,27.27383176532612,294247200,0.02343873190445045,AAPL,1355,636,1.0
