Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Alvo
2015-01-02,15.425999641418457,15.737500190734863,15.347999572753906,15.628999710083008,55664000,,AMZN,1395,676,1.0
2015-01-05,15.10949993133545,15.418999671936035,15.042499542236328,15.350500106811523,55484000,-0.020517290123177045,AMZN,1392,673,1.0
2015-01-06,14.76449966430664,15.149999618530273,14.619000434875488,15.112000465393066,70380000,-0.022833334564125174,AMZN,1391,672,1.0
2015-01-07,14.920999526977539,15.064000129699707,14.766500473022461,14.875,52806000,0.010599740338593344,AMZN,1390,671,1.0
2015-01-08,15.02299976348877,15.156999588012695,14.805500030517578,15.015999794006348,61768000,0.0068360190164749035,AMZN,1389,670,1.0
2015-01-09,14.846500396728516,15.143500328063965,14.833999633789062,15.074000358581543,51848000,-0.011748610100441481,AMZN,1388,669,1.0
2015-01-12,14.570500373840332,14.92549991607666,14.46399974822998,14.878000259399414,68428000,-0.018590241168821242,AMZN,1385,666,1.0
2015-01-13,14.737000465393066,15.074999809265137,14.661499977111816,14.87399959564209,82728000,0.0114272047823194,AMZN,1384,665,1.0
2015-01-14,14.66349983215332,14.795499801635742,14.324999809265137,14.596500396728516,110774000,-0.00498748937494764,AMZN,1383,664,1.0
2015-01-15,14.34749984741211,14.800000190734863,14.340999603271484,14.699999809265137,88384000,-0.02155010661563239,AMZN,1382,663,1.0
2015-01-16,14.536999702453613,14.53950023651123,14.262499809265137,14.314000129699707,69564000,0.01320786597364454,AMZN,1381,662,1.0
2015-01-20,14.472000122070312,14.668000221252441,14.319499969482422,14.629500389099121,61502000,-0.004471320197683593,AMZN,1377,658,1.0
2015-01-21,14.862500190734863,15.300000190734863,14.36299991607666,14.482000350952148,201302000,0.0269831443733215,AMZN,1376,657,1.0
2015-01-22,15.515999794006348,15.612500190734863,15.0,15.0,107252000,0.043969695198313286,AMZN,1375,656,1.0
2015-01-23,15.619500160217285,15.846500396728516,15.38599967956543,15.404000282287598,89928000,0.006670557333399607,AMZN,1374,655,1.0
2015-01-26,15.482999801635742,15.649999618530273,15.37600040435791,15.590999603271484,63394000,-0.008739099022464725,AMZN,1371,652,1.0
2015-01-27,15.337499618530273,15.51200008392334,15.131500244140625,15.3149995803833,58406000,-0.009397415550576715,AMZN,1370,651,1.0
2015-01-28,15.195500373840332,15.575499534606934,15.1899995803833,15.490500450134277,61276000,-0.009258304692531638,AMZN,1369,650,1.0
2015-01-29,15.58899974822998,15.640000343322754,14.966500282287598,15.236499786376953,173132000,0.02589578261385017,AMZN,1368,649,1.0
2015-01-30,17.726499557495117,17.975000381469727,17.03700065612793,17.31599998474121,477122000,0.13711590504758542,AMZN,1367,648,1.0
2015-02-02,18.223499298095703,18.25,17.500499725341797,17.502500534057617,204638000,0.02803710563321249,AMZN,1364,645,1.0
2015-02-03,18.177499771118164,18.391000747680664,18.010499954223633,18.01449966430664,124252000,-0.0025241873816378435,AMZN,1363,644,1.0
2015-02-04,18.237499237060547,18.375,17.911500930786133,17.91900062561035,83398000,0.0033007545975995978,AMZN,1362,643,1.0
2015-02-05,18.694499969482422,18.940000534057617,18.295000076293945,18.299999237060547,144952000,0.02505830029005307,AMZN,1361,642,1.0
2015-02-06,18.714000701904297,18.79949951171875,18.550500869750977,18.743499755859375,77848000,0.0010431267192869687,AMZN,1360,641,1.0
2015-02-09,18.527999877929688,18.720500946044922,18.360000610351562,18.549999237060547,54492000,-0.009939126696499656,AMZN,1357,638,1.0
2015-02-10,18.649999618530273,18.71500015258789,18.425500869750977,18.559499740600586,45744000,0.00658461471310301,AMZN,1356,637,1.0
2015-02-11,18.756999969482422,18.854999542236328,18.55500030517578,18.561500549316406,55730000,0.005737284350710414,AMZN,1355,636,1.0
2015-02-12,18.85849952697754,18.925500869750977,18.657499313354492,18.7549991607666,55822000,0.005411289527123664,AMZN,1354,635,1.0
2015-02-13,19.09149932861328,19.149999618530273,18.850500106811523,18.920499801635742,69502000,0.012355161199459674,AMZN,1353,634,1.0
2015-02-17,18.771499633789062,18.999500274658203,18.633499145507812,18.88599967956543,73464000,-0.01676137056164162,AMZN,1349,630,1.0
2015-02-18,18.668500900268555,18.836999893188477,18.642499923706055,18.68899917602539,53012000,-0.005486974164552572,AMZN,1348,629,1.0
2015-02-19,18.950000762939453,19.0939998626709,18.671499252319336,18.67449951171875,59076000,0.015078868098447495,AMZN,1347,628,1.0
2015-02-20,19.183000564575195,19.184999465942383,18.79199981689453,18.930999755859375,65160000,0.012295503549077491,AMZN,1346,627,1.0
2015-02-23,19.006999969482422,19.226999282836914,18.899999618530273,19.172000885009766,43540000,-0.009174820930662464,AMZN,1343,624,1.0
2015-02-24,18.929500579833984,19.02400016784668,18.808000564575195,18.9325008392334,38416000,-0.004077413046397083,AMZN,1342,623,1.0
2015-02-25,19.26849937438965,19.392499923706055,18.82699966430664,18.863500595092773,63490000,0.01790849120006932,AMZN,1341,622,1.0
