Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Alvo
2015-01-02,8.515740394592285,8.76242772709107,8.437706727154346,8.621463396046334,23517344,,ITUB4.SA,1395,676,1.0
2015-01-05,8.558528900146484,8.646631187191666,8.316876038341375,8.382323338738656,26662189,0.005024637150913058,ITUB4.SA,1392,673,1.0
2015-01-06,8.696977615356445,8.696977615356445,8.465393360568061,8.558530989442705,31413078,0.016176695414043873,ITUB4.SA,1391,672,1.0
2015-01-07,9.01162338256836,9.147553253042595,8.810247222805318,8.810247222805318,26740949,0.036178748655893544,ITUB4.SA,1390,671,1.0
2015-01-08,9.152593612670898,9.187834932821863,8.86563168015457,9.061974626639183,24249626,0.01564315596846022,ITUB4.SA,1389,670,1.0
2015-01-09,8.75235652923584,9.099732428218273,8.727183876138517,9.07455977512095,19333403,-0.0437293624488001,ITUB4.SA,1388,669,1.0
2015-01-12,8.540911674499512,8.792633300923054,8.528325346348868,8.709565312300965,23066377,-0.024158619913394852,ITUB4.SA,1385,666,1.0
2015-01-13,8.530843734741211,8.75739373772992,8.530843734741211,8.611395066318988,28972137,-0.0011787898226790494,ITUB4.SA,1384,665,1.0
2015-01-14,8.588739395141602,8.71711739103473,8.432672066303601,8.457844725699658,25515543,0.006786627700682724,ITUB4.SA,1383,664,1.0
2015-01-15,8.513221740722656,8.85052800506698,8.510704080344077,8.60887605070621,27801637,-0.008792635443294894,ITUB4.SA,1382,663,1.0
2015-01-16,8.644118309020996,8.689428307379401,8.457844968345345,8.53587863500304,29126984,0.015375679417840349,ITUB4.SA,1381,662,1.0
2015-01-19,8.331981658935547,8.691943899173609,8.294223665064624,8.586220923944357,17386819,-0.03610971517589057,ITUB4.SA,1378,659,1.0
2015-01-20,8.359667778015137,8.500632019997601,8.296738141485784,8.470425044102287,18983816,0.003322873262676662,ITUB4.SA,1377,658,1.0
2015-01-21,8.606363296508789,8.666776319538295,8.349607208144624,8.483019588635969,29473281,0.02951020603264043,ITUB4.SA,1376,657,1.0
2015-01-22,8.649154663085938,8.810256350187185,8.601326998080767,8.707050011094653,28294761,0.004972061380967618,ITUB4.SA,1375,656,1.0
2015-01-23,8.566084861755371,8.810255524420185,8.48553451941363,8.707049195000968,23406093,-0.009604383846331666,ITUB4.SA,1374,655,1.0
2015-01-26,8.666769027709961,8.684389683626334,8.460357463422152,8.525805755014039,20255902,0.011753813740990271,ITUB4.SA,1371,652,1.0
2015-01-27,8.63404655456543,8.702011527816078,8.447772293135987,8.63404655456543,26231374,-0.003775625384720538,ITUB4.SA,1370,651,1.0
2015-01-28,8.457844734191895,8.714599738917965,8.455327073322566,8.533360737819917,23732443,-0.020407791324725366,ITUB4.SA,1369,650,1.0
