horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
15,0.03,9786,1981,13093,0.004639175257731956,-0.007607852088564257,0.39342915811088297,0.37320246519059574,0.9103563474387528,0.5293831957260806,0.25,0.0021691973969631237,0.004301075268817204,0.5773195876288659,0.10715652506697283,0.18076178179470626,0.23814868426320135,0.29262536982598214
15,0.05,7272,7253,10335,-0.007800000000000005,-0.02537917087967644,0.28480492813141683,0.2462082912032356,0.8382099827882961,0.38061742868307935,0.48792270531400966,0.11696583671105965,0.18869687062120505,0.422,0.10651186269560828,0.1700927045546151,0.2464690012862998,0.2269220935144254
15,0.07,4996,12459,7405,-0.012727272727272719,-0.05071481757259866,0.36919917864476387,0.1377513030528667,0.5817610062893082,0.22275737507525586,0.6782477341389728,0.4688478941872607,0.5544350689442272,0.4090909090909091,0.05951506245407789,0.10391276459268763,0.2937017362040569,0.3852137405000565
15,0.1,2730,17835,4295,0.01764705882352942,-0.08816568047337278,0.7248459958932238,0.05917159763313609,0.12096774193548387,0.07947019867549669,0.8038808038808039,0.90625,0.85200146896805,0.5882352941176471,0.02557544757033248,0.049019607843137254,0.326830425162228,0.6837222963946957
15,0.15,909,22267,1684,0.12692307692307694,-0.15,0.9328542094455852,0.0,0.0,0.0,0.9375129319263398,0.9958241758241758,0.965789193221784,0.9230769230769231,0.04363636363636364,0.08333333333333333,0.3497075088517058,0.907034393393385
15,0.2,390,23697,773,-0.2,-0.2,0.9747433264887063,0.0,0.0,0.0,0.9747433264887063,1.0,0.9872101486950192,0.0,0.0,0.0,0.3290700495650064,0.9622765042823934
15,0.25,187,24236,437,-0.25,-0.25,0.9862422997946612,0.0,0.0,0.0,0.9862422997946612,1.0,0.9930735035666287,0.0,0.0,0.0,0.3310245011888762,0.9794110960226936
15,0.3,83,24545,232,-0.3,-0.3,0.9936344969199179,0.0,0.0,0.0,0.9936344969199179,1.0,0.9968070862086723,0.0,0.0,0.0,0.3322690287362241,0.9904619076311633
15,0.4,22,24776,62,-0.4,-0.4,0.9987679671457905,0.0,0.0,0.0,0.9987679671457905,1.0,0.9993836038627492,0.0,0.0,0.0,0.3331278679542497,0.998152330428832
15,0.5,12,24819,29,-0.5,-0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0
