alvo_retorno,horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
0.01,20,0.511522633744856,0.4654641443026837,0.47743682310469315,0.4713744709289374,0.0,0.0,0.0,0.5524177949709864,0.540090771558245,0.5461847389558233,0.3391864032949203,0.5120737196250458
0.02,20,0.507201646090535,0.4409937888198758,0.46975425330812853,0.45491990846681923,0.0,0.0,0.0,0.5675154320987654,0.5410077234277307,0.5539446431933722,0.3362881838867305,0.5079806607322158
0.03,20,0.4728395061728395,0.4131408661025386,0.43478260869565216,0.42368555385400714,0.041666666666666664,0.08762886597938144,0.05647840531561462,0.593941874744167,0.5262966993108451,0.558076923076923,0.3460802940821816,0.48526555758469253
0.04,20,0.3794238683127572,0.3471638655462185,0.3953349282296651,0.36968680089485456,0.14959202175883954,0.2815699658703072,0.19538188277087035,0.5493793847814356,0.39123750960799386,0.4570145903479237,0.3406944246712162,0.3954242959846141
0.05,20,0.34897119341563787,0.28952150211992733,0.3468795355587808,0.3156157147573457,0.2852992446252179,0.4251082251082251,0.34144645340751045,0.4885752688172043,0.3124194241512677,0.38112712975098295,0.34606309930527973,0.3531217982616943
0.06,20,0.36502057613168726,0.2237312365975697,0.28847926267281104,0.25201288244766507,0.4161572052401747,0.5408626560726447,0.47038499506416587,0.43381725021349277,0.25235966219572775,0.31909547738693467,0.3471644516329218,0.35896945159232024
0.07,20,0.4302469135802469,0.16787658802177857,0.2267156862745098,0.19290928050052136,0.5360967184801382,0.6824978012313104,0.6005029986457728,0.4101969872537659,0.2,0.2688947968097227,0.3541023586520056,0.411296621844058
0.08,20,0.5104938271604939,0.14492753623188406,0.21138211382113822,0.17195767195767195,0.6339506172839506,0.7504567044208988,0.687301321733311,0.4107883817427386,0.19694960212201593,0.2662483191393994,0.3751691042767941,0.4914403603086944
0.09,20,0.5765432098765432,0.14361702127659576,0.22594142259414227,0.17560975609756097,0.7055603572457505,0.7894906511927788,0.7451696333485471,0.38461538461538464,0.19140625,0.2556077203964528,0.39212903661418697,0.5602130757549972
0.1,20,0.6401234567901235,0.1260647359454855,0.20441988950276244,0.1559536354056902,0.7655450874831763,0.8289128533955115,0.7959697732997482,0.34587813620071683,0.18088097469540768,0.23753846153846153,0.39648729008129996,0.6256956886151922
