horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
15,0.03,9785,1982,13093,0.004155844155844156,-0.006728971962616822,0.44103092783505154,0.3878504672897196,0.417551704863052,0.40215343203230147,0.1254071661237785,0.16666666666666666,0.14312267657992564,0.5692640692640693,0.5059638322431704,0.5357506620492972,0.3603422568871748,0.4490703375570797
15,0.05,7274,7252,10334,-0.007270194986072422,-0.02534626038781164,0.362680412371134,0.24653739612188366,0.23056994818652848,0.23828647925033467,0.36764705882352944,0.4200463499420626,0.39210383991346676,0.42729805013927574,0.3901322482197355,0.407870247274661,0.3460868554794874,0.36176904676381744
15,0.07,4996,12459,7405,-0.027839080459770113,-0.04844632768361583,0.44969072164948454,0.153954802259887,0.17138364779874213,0.16220238095238096,0.5918223475502291,0.5860383944153578,0.5889161697649947,0.30114942528735633,0.29132690882134915,0.2961567445365486,0.34909176508464146,0.4515301008334491
15,0.1,2730,17833,4297,-0.06657223796033995,-0.09036144578313253,0.6154639175257732,0.04819277108433735,0.04838709677419355,0.0482897384305835,0.7893845285149633,0.730216766779838,0.7586487586487587,0.1671388101983003,0.22897800776196636,0.19323144104803494,0.3333899793757924,0.6322082177169098
15,0.15,909,22267,1684,-0.1282383419689119,-0.15,0.8268041237113402,0.0,0.0,0.0,0.9378397541952257,0.8747795414462081,0.9052127295540093,0.07253886010362694,0.15613382899628253,0.09905660377358491,0.33475644444253144,0.852101271684965
15,0.2,390,23697,773,-0.19310344827586207,-0.2,0.945979381443299,0.0,0.0,0.0,0.9753296469587409,0.9697610488475364,0.9725373767362951,0.017241379310344827,0.017391304347826087,0.017316017316017316,0.3299511313507708,0.9486846590880993
15,0.25,187,24235,438,-0.25,-0.25,0.9797938144329897,0.0,0.0,0.0,0.9865061241436579,0.993103448275862,0.9897937929598001,0.0,0.0,0.0,0.32993126431993336,0.9765285153221944
15,0.3,83,24546,231,-0.3,-0.3,0.9896907216494846,0.0,0.0,0.0,0.9935831090871455,0.9960572732932144,0.9948186528497409,0.0,0.0,0.0,0.3316062176165803,0.9884600181614229
15,0.4,21,24777,62,-0.4,-0.4,0.9987628865979381,0.0,0.0,0.0,0.9987628865979381,1.0,0.9993810604497627,0.0,0.0,0.0,0.3331270201499209,0.9981447127461135
15,0.5,12,24819,29,-0.5,-0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0
30,0.03,10293,237,14180,0.005389507154213038,-0.004960914010823813,0.5288381742738589,0.4173180998196031,0.3501513622603431,0.38079561042524007,0.0,0.0,0.0,0.589825119236884,0.6636851520572451,0.6245791245791246,0.3351249116681216,0.5187625628758255
30,0.05,9076,2067,13567,0.005362721277334261,-0.01808669656203288,0.4298755186721992,0.31913303437967117,0.2616421568627451,0.28754208754208754,0.08319467554076539,0.09746588693957114,0.08976660682226212,0.5536272127733426,0.5962616822429907,0.574154067674586,0.31715425401297853,0.4255562421572666
