DiasParaEleicaoBR,DiasParaEleicaoUSA,Ouro_Fechamento,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Line,MACD_Signal,Dist_SMA_Cruzamento_lag3,Target_Real,Target_Previsto,Split
1.4909218036995004,-0.3398298224765359,-0.9438614587186315,-0.05527186137452195,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,0.018027980519067323,-0.13115745571004156,-0.13729650076301073,-0.06652728743790126,0.0,0,Treino
1.488336078559537,-0.3420884333126999,-0.9036163016403927,-0.002164348327665111,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,-0.0016532924023232344,-0.11652908183585618,-0.13548235019863594,-0.1144587386857066,0.0,0,Treino
1.4805789031396464,-0.34886426582119173,-0.9230068820832404,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.1092558330360342,-0.13247026735651055,-0.14446954551398675,0.0,0,Treino
1.4779931779996829,-0.3511228766573557,-0.9467881112658361,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.11194489184433314,-0.13063764470797484,-0.1651930910134495,0.0,0,Treino
1.4754074528597194,-0.35338148749351966,-0.9149580293126436,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.10827359018528498,-0.1283837240201969,-0.18160984265646804,0.0,0,Treino
1.472821727719756,-0.35564009832968363,-0.9277633065648104,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.1146193706693462,-0.12794232495363259,-0.1824520201025715,0.0,0,Treino
1.4702360025797925,-0.35789870916584754,-0.9098358290892514,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.13985755613038034,-0.13300505379788857,-0.2005225359032929,0.0,0,Treino
1.462478827159902,-0.36467454167433944,-0.9442272344604536,-0.0021643483276650374,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.12100978318380377,-0.1330107038218754,-0.22731272958468707,0.0,0,Treino
1.4598931020199386,-0.36693315251050335,-0.9098358290892514,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.11641804963293664,-0.13202988630742485,-0.26691816842702876,0.0,0,Treino
1.4573073768799751,-0.3691917633466673,-0.9683742393848713,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.09011161763255708,-0.12560014977115475,-0.3029904416851989,0.0,0,Treino
1.4547216517400117,-0.3714503741828313,-0.9409343595587994,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.021334565323717285,-0.05614888824107391,-0.11316831744391316,-0.31271450910857196,0.0,0,Treino
1.452135926600048,-0.3737089850189952,-1.01118071988112,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.0016532924023267305,-0.02261328492346453,-0.09602646522911318,-0.33769498670426745,0.0,0,Treino
1.4443787511801576,-0.3804848175274871,-0.9083722795093354,0.0509431647191918,0.017321908858282803,-0.026151945661742258,0.4192821985889804,1.1614808041410087,-0.0016532924023267305,0.034358176021926784,-0.07008750952810765,-0.3492384089474039,0.0,0,Treino
1.441793026040194,-0.382743428363651,-0.8692248962691905,-0.0021643483276650374,0.0371128892991527,0.0024156097597914476,0.42749003270280195,1.1637326070299954,0.03770925344045438,0.04783540791816207,-0.04644427331510046,-0.32595817770203805,0.0,0,Treino
1.4392073009002306,-0.38500203919981496,-0.8845910503267398,-0.0021643483276650374,0.0371128892991527,-0.026151945661742258,0.42749003270280195,1.1637326070299954,0.03770925344045438,0.0294153433771557,-0.03148243568866102,-0.2981061611703949,0.0,0,Treino
1.4366215757602672,-0.3872606500359789,-0.9848381672805144,0.0509431647191918,0.9870799504609289,-0.14042216734787716,0.821466070166246,1.28307816014629,0.962729080745835,-0.03533167924522932,-0.03340699294657255,-0.2485297749943761,0.0,0,Treino
1.4340358506203037,-0.3895192608721429,-1.0137415966865024,-0.0021643483276650374,0.9870799504609289,0.14525338686746006,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.03559203086941114,-0.03500250746227014,-0.22852402421820453,0.0,0,Treino
1.4262786752004133,-0.39629509338063473,-0.9687400151266935,-0.0021643483276650374,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.04090574401993177,-0.03741918580681571,-0.20075540614877074,0.0,0,Treino
1.4236929500604498,-0.3985537042167987,-0.9453250082985474,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.08648619166385092,-0.049133611240441466,-0.18409247459133488,0.0,0,Treino
1.4211072249204864,-0.4008123150529626,-0.9559347378745267,-0.0021643483276650374,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.13413828346309348,-0.06873078730555286,-0.15957381521518302,0.0,0,Treino
1.4185214997805227,-0.4030709258891266,-0.9848381672805144,-0.0021643483276650374,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.16141738344313963,-0.09026233495990782,-0.1476232971174273,0.0,0,Treino
1.4159357746405592,-0.40532953672529054,-0.9603253866142746,-0.0021643483276650374,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.1505123706406313,-0.10514747248737454,-0.12841396821633544,0.0,0,Treino
1.4081785992206688,-0.4121053692337824,-0.98191151473331,-0.0021643483276650374,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.1602530738371737,-0.11914583455844345,-0.11199981728386275,0.0,0,Treino
1.4055928740807053,-0.41436398006994635,-0.9475201093621077,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.1743449365201694,-0.1333684891441509,-0.10888905280384863,0.0,0,Treino
1.4030071489407419,-0.41662259090611026,-0.8531267441153695,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.18355449825298847,-0.14672288751228166,-0.09478780986169819,0.0,0,Treino
1.4004214238007784,-0.4188812017422742,-0.8275161896110358,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.15024669490798168,-0.15025890332244793,-0.09014253600828266,0.0,0,Treino
1.397835698660815,-0.4211398125784382,-0.8271504138692136,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.12700381249206927,-0.14810003883716905,-0.08165978702719175,0.0,0,Treino
1.3900785232409245,-0.42791564508693003,-0.8187353387441673,-0.05527186137452195,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.08986254817646329,-0.13840282411971944,-0.0752320938730324,0.0,0,Treino
1.387492798100961,-0.430174255923094,-0.8952012265153464,-0.10837937442137886,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.06347759153756413,-0.12498311926280413,-0.05415390220237328,0.0,0,Treino
1.3849070729609974,-0.43243286675925796,-0.8878839252283939,-0.10837937442137886,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.04430537548409194,-0.11013320026106867,-0.029845267209963798,0.0,0,Treino
1.3823213478210339,-0.43469147759542187,-0.904347853124037,-0.10837937442137886,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.012534758052875567,-0.09143562604053825,-0.01936150516706981,0.0,0,Treino
1.3797356226810704,-0.43695008843158584,-0.9047136288658592,-0.05527186137452195,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,1.002091626588616,0.02626256310181276,-0.06815207122434014,-0.0028925092217793073,0.0,0,Treino
1.3693927221212165,-0.44598453177624164,-0.9672769121594049,-0.10837937442137886,0.9870799504609289,-0.026151945661742296,0.821466070166246,1.2740709485903434,1.02177289951001,0.01403497796612286,-0.05214913802440696,-0.006364279491107703,0.0,0,Treino
1.366806996981253,-0.4482431426124056,-0.9720328900283476,-0.10837937442137886,0.967288970020059,-0.026151945661742296,0.821466070166246,1.2740709485903434,1.0020916265886195,0.03555946637404022,-0.03472786353979561,-0.018225525532727358,0.0,0,Treino
1.3642212718412896,-0.4505017534485695,-0.9639840372577508,-0.10837937442137886,0.9474979895791891,-0.026151945661742296,0.821466070166246,1.2740709485903434,0.9824103536672291,0.04635080832943615,-0.018475135919573137,-0.023113651902358704,0.0,0,Treino
1.3616355467013261,-0.4527603642847335,-0.9592276127761807,-0.3208094266088063,0.9474979895791891,0.0024156097597914476,0.821466070166246,1.28307816014629,1.0611354453527913,0.031521511219638386,-0.008655164393305931,-0.05982862094477754,0.0,0,Treino
1.3538783712814355,-0.4595361967932253,-0.9632520391614792,0.15715819081290547,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.2740709485903434,-0.0606971111664949,0.0210414730537731,-0.0030480926988022813,-0.06733825495972598,0.0,0,Treino
1.351292646141472,-0.4617948076293893,-0.9420321333968933,-0.10837937442137886,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.2740709485903434,0.037709253440461374,0.002513243415561349,-0.002538397774857418,-0.05626886610378102,0.0,0,Treino
