DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Target_Real,Target_Previsto,Split
1.494517066110062,-0.3326147149136946,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.02148948829790943,0.0,0,Treino
1.4919335076084193,-0.3348747100044558,-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.017901545313886835,0.0,0,Treino
1.4893499491067765,-0.3371347050952169,-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.017901545313886835,0.0,0,Treino
1.4867663906051336,-0.33939470018597806,-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.017901545313886835,0.0,0,Treino
1.484182832103491,-0.34165469527673925,-0.0021935070645008104,0.820723495687608,1.1594645309257618,-0.0017939714920095493,0.0,0,Treino
1.4764321565985625,-0.3484346805490227,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.02148948829790943,0.0,0,Treino
1.4738485980969196,-0.35069467563978385,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.02148948829790943,0.0,0,Treino
1.4712650395952769,-0.352954670730545,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.001793971492013048,0.0,0,Treino
1.468681481093634,-0.3552146658213061,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.001793971492013048,0.0,0,Treino
1.4660979225919912,-0.3574746609120673,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.02148948829790943,0.0,0,Treino
1.4583472470870629,-0.36425464618435077,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.001793971492013048,0.0,0,Treino
1.45576368858542,-0.3665146412751119,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.001793971492013048,0.0,0,Treino
1.4531801300837772,-0.36877463636587304,-0.0021935070645008104,0.820723495687608,1.157213407302911,-0.001793971492013048,0.0,0,Treino
1.4505965715821343,-0.37103463145663423,-0.0021935070645008104,0.41019126103539366,1.157213407302911,-0.02148948829790943,0.0,0,Treino
1.4480130130804916,-0.37329462654739537,-0.0021935070645008104,0.41019126103539366,1.157213407302911,-0.001793971492013048,0.0,0,Treino
1.4402623375755632,-0.38007461181967883,0.017613861727941087,0.4184019057284378,1.1594645309257614,-0.001793971492013048,0.0,0,Treino
