DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,BTC_Volatilidade_21d_lag3,Target_Real,Target_Previsto,Split
1.4909218036995004,-0.3398298224765359,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,0.018027980519067323,-0.1372968127166101,-0.35412705796212346,0.0,0,Treino
1.488336078559537,-0.3420884333126999,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,-0.0016532924023232344,-0.13548265083296973,-0.35620029479373844,0.0,0,Treino
1.4805789031396464,-0.34886426582119173,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.13247057082549307,-0.5079046513298927,0.0,0,Treino
1.4779931779996829,-0.3511228766573557,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.13063790835583078,-0.5173806304730908,0.0,0,Treino
1.4754074528597194,-0.35338148749351966,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.12838394792370889,-0.5232244194473091,0.0,0,Treino
1.472821727719756,-0.35564009832968363,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.12794256117515757,-0.46577999585954005,0.0,0,Treino
1.4702360025797925,-0.35789870916584754,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,-0.13300525767863616,-0.47390691157688863,0.0,0,Treino
1.462478827159902,-0.36467454167433944,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.1330108742952841,-0.46631421672923123,0.0,0,Treino
1.4598931020199386,-0.36693315251050335,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.13203007449638413,-0.4263478206364698,0.0,0,Treino
1.4573073768799751,-0.3691917633466673,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,-0.12560028545626295,-0.8121221709388231,0.0,0,Treino
1.4547216517400117,-0.3714503741828313,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.021334565323717285,-0.11316840975495558,-0.8326316225932071,0.0,0,Treino
1.452135926600048,-0.3737089850189952,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.0016532924023267305,-0.09602664843532441,-0.6971665763121497,0.0,0,Treino
1.4443787511801576,-0.3804848175274871,0.017321908858282803,-0.026151945661742258,0.4192821985889804,1.1614808041410087,-0.0016532924023267305,-0.0700877365179171,-0.7253054671785283,0.0,0,Treino
1.441793026040194,-0.382743428363651,0.0371128892991527,0.0024156097597914476,0.42749003270280195,1.1637326070299954,0.03770925344045438,-0.04644453667426826,-1.0205046042823769,0.0,0,Treino
1.4392073009002306,-0.38500203919981496,0.0371128892991527,-0.026151945661742258,0.42749003270280195,1.1637326070299954,0.03770925344045438,-0.031482601510659444,-0.9984437221875471,0.0,0,Treino
1.4366215757602672,-0.3872606500359789,0.9870799504609289,-0.14042216734787716,0.821466070166246,1.28307816014629,0.962729080745835,-0.03340700674605091,-1.006136871436939,0.0,0,Treino
1.4340358506203037,-0.3895192608721429,0.9870799504609289,0.14525338686746006,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.03500231829957354,-0.9990780403725467,0.0,0,Treino
1.4262786752004133,-0.39629509338063473,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.03741887389036096,-1.000375415637872,0.0,0,Treino
1.4236929500604498,-0.3985537042167987,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.04913323350601751,-0.8749885746388301,0.0,0,Treino
1.4211072249204864,-0.4008123150529626,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.06873030774211869,-0.8738400864064869,0.0,0,Treino
1.4185214997805227,-0.4030709258891266,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.09026178808338212,-0.8531381467124389,0.0,0,Treino
1.4159357746405592,-0.40532953672529054,0.9870799504609289,0.0024156097597914476,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.10514691032624515,-0.8572340475429582,0.0,0,Treino
1.4081785992206688,-0.4121053692337824,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,0.9824103536672221,-0.11914529157012577,-0.8310436637674851,0.0,0,Treino
1.4055928740807053,-0.41436398006994635,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.13336791120238697,-0.8105838042828742,0.0,0,Treino
1.4030071489407419,-0.41662259090611026,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.14672231968331007,-0.7726779672132095,0.0,0,Treino
1.4004214238007784,-0.4188812017422742,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.15025840032689872,-0.8217605109161212,0.0,0,Treino
1.397835698660815,-0.4211398125784382,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.14809968322837133,-0.9612182769645269,0.0,0,Treino
1.3900785232409245,-0.42791564508693003,0.9870799504609289,-0.026151945661742258,0.821466070166246,1.2718191457013563,1.002091626588616,-0.1384025092073381,-0.974558747869513,0.0,0,Treino
1.387492798100961,-0.430174255923094,0.9870799504609289,-0.054719501083276,0.821466070166246,1.2740709485903434,1.02177289951001,-0.12498287784553734,-0.9931435329947965,0.0,0,Treino
