DiasParaEleicaoBR,DiasParaEleicaoUSA,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Line,MACD_Signal,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag2,Target_Real,Target_Previsto,Split
1.494517066110062,-0.3326147149136946,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.14181741124011374,-0.12666973028413903,0.10904393998332641,0.5532853642297791,0.0,0,Treino
1.4919335076084193,-0.3348747100044558,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.13842136349124912,-0.13167257503689073,0.029654963203095994,0.5636971775734044,0.0,0,Treino
1.4893499491067765,-0.3371347050952169,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.14191515511332167,-0.13642459182223368,-0.02656968491849056,0.5199293918312076,0.0,0,Treino
1.4867663906051336,-0.33939470018597806,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.13193146964447217,-0.13808378264250157,-0.06664830659314484,0.4196140931647686,0.0,0,Treino
1.484182832103491,-0.34165469527673925,-0.0010468810726381738,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,-0.0017939714920095493,-0.11727645678692904,-0.13626628153057682,-0.11461675921955577,0.3910183184288056,0.0,0,Treino
1.4764321565985625,-0.3484346805490227,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.10998958299207356,-0.1332485732096983,-0.1446509936187096,0.6401191855869452,0.0,0,Treino
1.4738485980969196,-0.35069467563978385,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.1126836619441369,-0.13141253530841993,-0.16539078585606976,0.3520424230226352,0.0,0,Treino
1.4712650395952769,-0.352954670730545,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.10900605622460473,-0.1291545189036165,-0.18182037621435757,0.15637295753259922,0.0,0,Treino
1.468681481093634,-0.3552146658213061,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.1153637468401741,-0.1287124176014959,-0.1826630363118315,0.21585047142235034,0.0,0,Treino
1.4660979225919912,-0.3574746609120673,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.14064743285753598,-0.13378442236554183,-0.2007473203777637,0.16522644663747413,0.0,0,Treino
1.4583472470870629,-0.36425464618435077,-0.0010468810726381,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.12176537461264308,-0.13379008077086868,-0.22755850480152653,0.1327489932818615,0.0,0,Treino
1.45576368858542,-0.3665146412751119,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.11716523866757358,-0.1328074534747666,-0.2671948286312548,0.014642926954375928,0.0,0,Treino
1.4531801300837772,-0.36877463636587304,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.09081080047673554,-0.1263658905982186,-0.3032948604395606,0.11538928949858301,0.0,0,Treino
1.4505965715821343,-0.37103463145663423,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,1.157213407302911,-0.02148948829790943,-0.056786837584650494,-0.11391135786561599,-0.31302612796112955,0.13106160545821513,0.0,0,Treino
1.4480130130804916,-0.37329462654739537,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,1.157213407302911,-0.001793971492013048,-0.02319081639105652,-0.09673828226640893,-0.3380260740038103,0.17690070802970306,0.0,0,Treino
1.4402623375755632,-0.38007461181967883,0.05221135039734758,0.017613861727941087,-0.025163908331441096,0.4184019057284378,1.1594645309257614,-0.001793971492013048,0.03388460702253746,-0.07075187208306306,-0.34957849821882125,0.11338808978400636,0.0,0,Treino
1.4376787790739203,-0.38233460691043997,-0.0010468810726381,0.03742123052038298,0.0034725242120892223,0.4266125504214819,1.1617156545486118,0.03759706211977972,0.047386177856428895,-0.047065410012117254,-0.3262801509245017,-0.00012815880039309234,0.0,0,Treino
1.4350952205722776,-0.3845946020012011,-0.0010468810726381,0.03742123052038298,-0.025163908331441096,0.4266125504214819,1.1617156545486118,0.03759706211977972,0.028932731712605488,-0.03207620887976101,-0.298406674333373,0.039303187903044566,0.0,0,Treino
1.4325116620706349,-0.3868545970919623,0.05221135039734758,0.9881749325576151,-0.13970963850556245,0.820723495687608,1.2810252065596894,0.9632863519969342,-0.03593159656105976,-0.03400423713935516,-0.2487914808639744,-0.09691945772140348,0.0,0,Treino
1.429928103568992,-0.38911459218272343,-0.0010468810726381,0.9881749325576151,0.14665468692974087,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.03619255536379494,-0.03560265951189512,-0.22877027739929123,-0.23085241747397697,0.0,0,Treino
1.4221774280640636,-0.3958945774550069,-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.0415161352566961,-0.03802379697306102,-0.20097980894656617,-0.4503821924695761,0.0,0,Treino
1.4195938695624208,-0.398154572545768,-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,1.0026773856087272,-0.08717920468562461,-0.049759652692112646,-0.1843037236102503,-0.2463783318003733,0.0,0,Treino
1.417010311060778,-0.40041456763652916,-0.0010468810726381,0.9881749325576151,0.0034725242120892223,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.13491745445527054,-0.06939260086041928,-0.15976589585478942,-0.3115705842243695,0.0,0,Treino
1.4144267525591352,-0.40267456272729035,-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,1.2697695884454367,0.9829818688028271,-0.16224606024552407,-0.09096346935714411,-0.14780621833472177,-0.6325389196437016,0.0,0,Treino
