DiasParaEleicaoBR,DiasParaEleicaoUSA,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,Target_Real,Target_Previsto,Split
1.494517066110062,-0.3326147149136946,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.12667008153672576,0.0,0,Treino
1.4919335076084193,-0.3348747100044558,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.13167297100838724,0.0,0,Treino
1.4893499491067765,-0.3371347050952169,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.136424971205281,0.0,0,Treino
1.4867663906051336,-0.33939470018597806,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.1380841830114992,0.0,0,Treino
1.484182832103491,-0.34165469527673925,-0.0010468810726381738,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,-0.0017939714920095493,-0.13626672442116444,0.0,0,Treino
1.4764321565985625,-0.3484346805490227,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.13324919551882328,0.0,0,Treino
1.4738485980969196,-0.35069467563978385,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.13141333600482652,0.0,0,Treino
1.4712650395952769,-0.352954670730545,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.12915538483888364,0.0,0,Treino
1.468681481093634,-0.3552146658213061,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.12871329777216983,0.0,0,Treino
1.4660979225919912,-0.3574746609120673,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.1337854086697529,0.0,0,Treino
1.4583472470870629,-0.36425464618435077,-0.0010468810726381,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.1337910710483227,0.0,0,Treino
1.45576368858542,-0.3665146412751119,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.13280838120557134,0.0,0,Treino
1.4531801300837772,-0.36877463636587304,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.1263667406000947,0.0,0,Treino
1.4505965715821343,-0.37103463145663423,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,1.157213407302911,-0.02148948829790943,-0.1139121734266352,0.0,0,Treino
1.4480130130804916,-0.37329462654739537,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,1.157213407302911,-0.001793971492013048,-0.09673906513327862,0.0,0,Treino
1.4402623375755632,-0.38007461181967883,0.05221135039734758,0.017613861727941087,-0.025163908331441096,0.4184019057284378,1.1594645309257614,-0.001793971492013048,-0.07075269929866733,0.0,0,Treino
1.4376787790739203,-0.38233460691043997,-0.0010468810726381,0.03742123052038298,0.0034725242120892223,0.4266125504214819,1.1617156545486118,0.03759706211977972,-0.04706622428800759,0.0,0,Treino
1.4350952205722776,-0.3845946020012011,-0.0010468810726381,0.03742123052038298,-0.025163908331441096,0.4266125504214819,1.1617156545486118,0.03759706211977972,-0.032077023749826725,0.0,0,Treino
1.4325116620706349,-0.3868545970919623,0.05221135039734758,0.9881749325576151,-0.13970963850556245,0.820723495687608,1.2810252065596894,0.9632863519969342,-0.034004983138712565,0.0,0,Treino
