Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Selic_Aceleracao,Spread_BR_US,Spread_BR_US_Delta_21d,ATR_Relativo,Dist_SMA_Cruzamento,SMA_50_Slope,MACD_Line,MACD_Signal,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag1,SMA_50_Slope_lag3,Target_Real,Target_Previsto,Split
0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.6545780672783068,-0.06561454889723287,0.5210514175340292,-0.1419190574290884,-0.12677374180851636,0.10904422953970484,0.5642271899599643,0.7058831314793559,0.0,0,Treino
-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,0.017901545313886835,-0.6714352300151647,-0.11355228795793172,0.4208799140344425,-0.1385234412424287,-0.1317770022833243,0.029655333957522637,0.5204948958028661,0.5528896738947409,0.0,0,Treino
-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,0.017901545313886835,-0.826914102648097,-0.14356733096176882,0.39232564856206953,-0.14201710532413775,-0.13652932733687967,-0.026569391393122352,0.4202585816548148,0.5633090979698663,0.0,0,Treino
-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,0.017901545313886835,-0.7688632364704187,-0.16429370441328162,0.641069767244526,-0.13203280186964422,-0.13818862341245713,-0.0666481013965497,0.39168584166227344,0.5194968749188728,0.0,0,Treino
-0.0010468810726381738,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.1594645309257618,-0.0017939714920095493,-0.8874255934528786,-0.18071288662073667,0.35340769435079705,-0.11737713768607407,-0.13637105389974558,-0.11461656546662391,0.6405908970090544,0.41907736028083087,0.0,0,Treino
0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.8220315212992019,-0.18155533705851323,0.158014311931953,-0.11009065058995522,-0.1333533674593182,-0.1446508461837067,0.3527427076567358,0.3904523982965743,0.0,0,Treino
0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.7728097602321302,-0.19962819788314798,0.21741194159984145,-0.11278477168044711,-0.13151735846449963,-0.16539050390834317,0.15722290633253588,0.6398123738834721,0.0,0,Treino
-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-1.0551527768753586,-0.22642206386769145,0.16686057840558552,-0.1091065439473284,-0.12925922848410593,-0.18182020975619398,0.21665896608045257,0.3514380884772388,0.0,0,Treino
-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-1.188478247199155,-0.26603271457144434,0.13442837132697477,-0.115464300517121,-0.1288170560429154,-0.18266320015054976,0.16607489631282066,0.15556093838468182,0.0,0,Treino
0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-1.1387678299832111,-0.30210963417134795,0.016491204284860065,-0.14074905163126353,-0.13388925460174733,-0.200747644517278,0.1336217056979898,0.2151056285761805,0.0,0,Treino
-0.0010468810726381,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-1.0330020181978714,-0.3118351773102046,0.11709322802401691,-0.12186647456681288,-0.1338949401708094,-0.22755868364764997,0.015608233678840231,0.16442910702152996,0.0,0,Treino
-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-1.0491373228841567,-0.33681920126526094,0.1327450134386748,-0.11726610023294645,-0.13291227942026865,-0.26719472223239354,0.11627534661170594,0.13191660217040732,0.0,0,Treino
-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.8807906458019692,-0.3483640713931707,0.17851569692193575,-0.09091084449124219,-0.1264704912580402,-0.303294764818793,0.13193725868241785,0.01368743860191103,0.0,0,Treino
0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,-0.9403979070947032,1.157213407302911,-0.02148948829790943,-0.6452497217698481,-0.3250808190212016,0.11509494634314728,-0.05688565417350362,-0.11401548510142961,-0.313026541405659,0.1777375556542817,0.11453853938959747,0.0,0,Treino
-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.41019126103539366,-0.9403979070947032,1.157213407302911,-0.001793971492013048,-0.8560263700573589,-0.2972250817704458,0.0017422031074714568,-0.02328820036151708,-0.09684169390937092,-0.33802657851413676,0.11427577204885862,0.13022907651491092,0.0,0,Treino
0.05221135039734758,0.017613861727941087,-0.025163908331441096,0.4184019057284378,-0.9215795290314013,1.1594645309257614,-0.001793971492013048,-0.6649264405073336,-0.2476420836367031,0.04111691888874423,0.033789560664211744,-0.07085415962927899,-0.3495788481617124,0.0008496899439665329,0.17611308204008977,0.0,0,Treino
-0.0010468810726381,0.03742123052038298,0.0034725242120892223,0.4266125504214819,-0.9027611509680993,1.1617156545486118,0.03759706211977972,-0.00032442078376887604,-0.22763337471600847,-0.0949098280507441,0.047291855804252464,-0.04716663102504718,-0.3262806727215837,0.04024988104280711,0.11253531023267616,0.0,0,Treino
-0.0010468810726381,0.03742123052038298,-0.025163908331441096,0.4266125504214819,-0.9027611509680993,1.1617156545486118,0.03759706211977972,0.2721591189306933,-0.19986073003679689,-0.22864945392128272,0.02883769137984128,-0.032176746965764245,-0.2984070817337733,-0.09586487477515157,-0.0010980791140667904,0.0,0,Treino
0.05221135039734758,0.9881749325576151,-0.13970963850556245,0.820723495687608,0.0005209960704125774,1.2810252065596894,0.9632863519969342,0.6454208880147341,-0.18319557175842516,-0.4478646862599547,-0.03602929582126098,-0.03410485627990284,-0.248792304085344,-0.22969102976400504,0.03837412315533987,0.0,0,Treino
-0.0010468810726381,0.9881749325576151,0.14665468692974087,0.820723495687608,0.0005209960704125774,1.2697695884454367,0.9829818688028271,1.1309101841570306,-0.15867316897779632,-0.24415506767379952,-0.03629002128914548,-0.035703293652546174,-0.2287707708683596,-0.4490480936701872,-0.09798940767168357,0.0,0,Treino
-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,0.0005209960704125774,1.2697695884454367,0.9829818688028271,1.2461294336867264,-0.14672121340350186,-0.3092498778577864,-0.0416138801552032,-0.03812450764194359,-0.2009803257090906,-0.2452066755999691,-0.23206015482631942,0.0,0,Treino
-0.05430511254262386,0.9881749325576151,-0.025163908331441096,0.820723495687608,0.9414398992355284,1.2697695884454367,1.0026773856087272,1.487491593662634,-0.12750932226733522,-0.6297569812433302,-0.08727905946154392,-0.04986091734076274,-0.18430448613547262,-0.3103436019219026,-0.4518181345276609,0.0,0,Treino
-0.0010468810726381,0.9881749325576151,0.0034725242120892223,0.820723495687608,0.9414398992355284,1.2697695884454367,0.9829818688028271,1.7825710062625741,-0.11109309061645377,-0.6281593426216838,-0.13501946800922332,-0.06949481376125329,-0.15976636607092293,-0.6310580723977091,-0.24760415838816183,0.0,0,Treino
-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,0.9414398992355284,1.2697695884454367,0.9829818688028271,1.7237206628185806,-0.10798176622195371,-0.42010557252308023,-0.16234887346640464,-0.0910666363972596,-0.14780675006135827,-0.6294594001088872,-0.3128601345466748,0.0,0,Treino
-0.0010468810726381,0.9881749325576151,0.0034725242120892223,0.820723495687608,0.9414398992355284,1.2697695884454367,0.9829818688028271,1.4406019526381904,-0.09387858627286653,-0.3830250284763336,-0.15142309914440788,-0.10597949726064902,-0.12858254533788352,-0.42127101987382237,-0.6341607703123527,0.0,0,Treino
-0.0010468810726381,0.9881749325576151,-0.025163908331441096,0.820723495687608,0.9414398992355284,1.2697695884454367,0.9829818688028271,1.3991937028782397,-0.08923275092321625,-0.3501877159323776,-0.16118238473555513,-0.12000406260763022,-0.11215579193772342,-0.38416648483142196,-0.6325591761528583,0.0,0,Treino
