DiasParaEleicaoBR,DiasParaEleicaoUSA,Ouro_Fechamento,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Line,MACD_Signal,Brent_Retorno_63d,Dist_SMA_Cruzamento_lag3,Brent_Retorno_21d_lag2,Target_Real,Target_Previsto,Split
1.2194206640033343,-0.5769839602737508,1.8904954627499952,-0.0021643483276662166,-0.002469071582587093,0.659469384455067,0.0006826587840716725,0.26976686010228085,-0.0016532924023232344,0.2592625053185674,4.06747223176555,3.613303022423847,-0.41863755260969754,0.28482859201784616,0.29998171620182595,0.0,2,Teste
1.2168349388633708,-0.5792425711099147,1.8758608601760902,-0.0021643483276662166,-0.002469071582587093,0.659469384455067,0.0006826587840716725,0.26976686010228085,-0.0016532924023232344,0.22827736372837334,3.691043697174016,3.682062180690108,-0.23015343212490716,0.27003621531871613,0.17415140049332004,0.0,0,Teste
1.2090777634434804,-0.5860184036184066,1.8612262576021852,-0.0021643483276662166,-0.002469071582587093,0.659469384455067,0.0006826587840716725,0.26976686010228085,-0.0016532924023232344,0.21833020916002138,3.4328341117320713,3.6816604568294604,-0.16840206296349033,0.26587645099295987,0.2745584127499651,0.0,0,Teste
1.206492038303517,-0.5882770144545706,1.8678115607928651,-0.0021643483276662166,-0.002469071582587093,0.659469384455067,0.0006826587840716725,0.26976686010228085,-0.0016532924023232344,0.2329076397153096,3.5435689579395784,3.705101606433294,-0.17851231756792876,0.2585371259770674,0.29072061665366267,0.0,2,Teste
1.2039063131635535,-0.5905356252907344,1.8926905638135556,-0.0021643483276662166,-0.002469071582587093,0.659469384455067,0.0006826587840716725,0.26976686010228085,-0.0016532924023232344,0.20872418599439466,2.790671698587234,3.562290724472322,-0.10756855813431142,0.22753359297282977,0.8294141937620545,0.0,2,Teste
1.20132058802359,-0.5927942361268984,1.8067122736918637,1.3255234778437555,-0.002469071582587093,1.37365826999341,0.0006826587840716725,0.21347178787761367,-0.4936851154370976,0.17037748985793727,1.741461405971082,3.22289256923635,0.15446653792417508,0.2175805342120542,0.9672044928955082,2.0,2,Teste
1.1987348628836265,-0.5950528469630624,1.8615920333440075,1.3255234778437555,-0.002469071582587093,1.37365826999341,0.0006826587840716725,0.21347178787761367,-0.4936851154370976,0.14910024344490777,1.3591556975758934,2.8693352769802316,0.15520081049947027,0.2321666172874625,0.8445887686465916,0.0,2,Teste
1.1909776874637361,-0.6018286794715543,1.898544315520592,1.3255234778437555,-0.002469071582587093,1.37365826999341,0.0006826587840716725,0.21347178787761367,-0.4936851154370976,0.11234207963621298,0.8942040340077909,2.4867157258272328,0.11529461666554046,0.20796880933456546,1.2434964637884496,2.0,2,Teste
1.1883919623237726,-0.6040872903077182,1.789516347699949,1.2724159647968996,-0.002469071582587093,1.37365826999341,0.0006826587840716725,0.21347178787761367,-0.47400384251570704,0.08822747181144748,0.5429935584138598,2.105254025446765,0.09223872687048504,0.16959935228982576,1.0959533561452088,2.0,2,Teste
1.185806237183809,-0.6063459011438821,1.7774430685440537,1.2724159647968996,-0.002469071582587093,1.37365826999341,0.0006826587840716725,0.21347178787761367,-0.47400384251570704,0.04934692340990975,-0.2739098995299313,1.624785809153603,0.24672015397101754,0.14830947664134966,1.119904399322302,2.0,2,Teste
