DiasParaEleicaoBR,DiasParaEleicaoUSA,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Dist_SMA_Cruzamento,MACD_Line,MACD_Signal,Dist_SMA_Cruzamento_lag1,Dist_SMA_Cruzamento_lag2,Dist_SMA_Cruzamento_lag3,SMA_50_Slope_lag2,Target_Real,Target_Previsto,Split
1.494517066110062,-0.3326147149136946,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.06561475381349026,-0.14181741124011374,-0.12666973028413903,-0.02586858275086518,0.030006823626860833,0.10904393998332641,0.5532853642297791,0.0,0,Treino
1.4919335076084193,-0.3348747100044558,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.11355248143702368,-0.13842136349124912,-0.13167257503689073,-0.06592889707852509,-0.02620415756621406,0.029654963203095994,0.5636971775734044,0.0,0,Treino
1.4893499491067765,-0.3371347050952169,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.14356747815207863,-0.14191515511332167,-0.13642459182223368,-0.11387543839485796,-0.06627303704281867,-0.02656968491849056,0.5199293918312076,0.0,0,Treino
1.4867663906051336,-0.33939470018597806,-0.05430511254262386,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,0.017901545313886835,-0.16429398602979656,-0.13193146964447217,-0.13808378264250157,-0.14389595358092808,-0.11422982963337766,-0.06664830659314484,0.4196140931647686,0.0,0,Treino
1.484182832103491,-0.34165469527673925,-0.0010468810726381738,-0.0021935070645008104,-0.05380034087497145,0.820723495687608,1.1594645309257618,-0.0017939714920095493,-0.18071305282137756,-0.11727645678692904,-0.13626628153057682,-0.16462627217480413,-0.1442567633957441,-0.11461675921955577,0.3910183184288056,0.0,0,Treino
1.4764321565985625,-0.3484346805490227,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.18155517317382114,-0.10998958299207356,-0.1332485732096983,-0.18104835772880734,-0.16499151426304104,-0.1446509936187096,0.6401191855869452,0.0,0,Treino
1.4738485980969196,-0.35069467563978385,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.1996278738000228,-0.1126836619441369,-0.13141253530841993,-0.18189063291107815,-0.18141711096295293,-0.16539078585606976,0.3520424230226352,0.0,0,Treino
1.4712650395952769,-0.352954670730545,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.226421884984428,-0.10900605622460473,-0.1291545189036165,-0.1999666563320653,-0.1822595662289927,-0.18182037621435757,0.15637295753259922,0.0,0,Treino
1.468681481093634,-0.3552146658213061,-0.0010468810726381,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.001793971492013048,-0.2660328207497714,-0.1153637468401741,-0.1287124176014959,-0.22676559378634503,-0.20033945441828052,-0.1826630363118315,0.21585047142235034,0.0,0,Treino
1.4660979225919912,-0.3574746609120673,0.05221135039734758,-0.0021935070645008104,-0.025163908331441096,0.820723495687608,1.157213407302911,-0.02148948829790943,-0.3021097295778588,-0.14064743285753598,-0.13378442236554183,-0.26638381230447294,-0.22714412165513204,-0.2007473203777637,0.16522644663747413,0.0,0,Treino
