DiasParaEleicaoBR,DiasParaEleicaoUSA,Ouro_Fechamento,Fed_Delta_21d,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,Target_Real,Target_Previsto,Split
1.4909218036995004,-0.3398298224765359,-0.9438614587186315,-0.05527186137452195,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,0.018027980519067323,0.0,0,Treino
1.488336078559537,-0.3420884333126999,-0.9036163016403927,-0.002164348327665111,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.1614808041410092,-0.0016532924023232344,0.0,0,Treino
1.4805789031396464,-0.34886426582119173,-0.9230068820832404,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,0.0,0,Treino
1.4779931779996829,-0.3511228766573557,-0.9467881112658361,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,0.0,0,Treino
1.4754074528597194,-0.35338148749351966,-0.9149580293126436,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,0.0,0,Treino
1.472821727719756,-0.35564009832968363,-0.9277633065648104,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,0.0,0,Treino
1.4702360025797925,-0.35789870916584754,-0.9098358290892514,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.021334565323717285,0.0,0,Treino
1.462478827159902,-0.36467454167433944,-0.9442272344604536,-0.0021643483276650374,-0.002469071582587093,-0.054719501083276,0.821466070166246,1.159229001252022,-0.0016532924023267305,0.0,0,Treino
1.4598931020199386,-0.36693315251050335,-0.9098358290892514,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,0.0,0,Treino
1.4573073768799751,-0.3691917633466673,-0.9683742393848713,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.821466070166246,1.159229001252022,-0.0016532924023267305,0.0,0,Treino
1.4547216517400117,-0.3714503741828313,-0.9409343595587994,0.0509431647191918,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.021334565323717285,0.0,0,Treino
1.452135926600048,-0.3737089850189952,-1.01118071988112,-0.0021643483276650374,-0.002469071582587093,-0.026151945661742258,0.4110743644751588,1.159229001252022,-0.0016532924023267305,0.0,0,Treino
