Selic_Delta_21d,Selic_Delta_63d,Spread_BR_US,Target_Real,Target_Previsto,Split
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.1594645309257618,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.157213407302911,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.157213407302911,0.0,2,Treino
-0.0021935070645008104,0.41019126103539366,1.157213407302911,0.0,2,Treino
0.017613861727941087,0.4184019057284378,1.1594645309257614,0.0,0,Treino
0.03742123052038298,0.4266125504214819,1.1617156545486118,0.0,0,Treino
0.03742123052038298,0.4266125504214819,1.1617156545486118,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2810252065596894,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2720207120682876,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2720207120682876,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2720207120682876,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.2720207120682876,0.0,0,Treino
0.9683675637651732,0.820723495687608,1.2720207120682876,0.0,0,Treino
0.9485601949727314,0.820723495687608,1.2720207120682876,0.0,0,Treino
0.9485601949727314,0.820723495687608,1.2810252065596894,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.2720207120682876,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.2720207120682876,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.2697695884454367,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.2697695884454367,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3800746459651119,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3800746459651119,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3800746459651119,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3800746459651119,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3935813877022152,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3800746459651119,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3800746459651119,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.3823257695879623,0.0,0,Treino
-0.0021935070645008104,0.8125128509945639,1.3800746459651119,0.0,0,Treino
-0.0021935070645008104,0.8043022063015198,1.3800746459651119,0.0,0,Treino
-0.0021935070645008104,0.8043022063015198,1.3800746459651119,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.5061375688447407,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,0.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,2.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,2.0,0,Treino
0.9881749325576151,0.820723495687608,1.4903797034847872,2.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,2.0,0,Treino
0.9881749325576151,0.820723495687608,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.5061375688447407,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.820723495687608,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,2.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.4926308271076376,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.494881950730488,0.0,0,Treino
-0.0021935070645008104,0.41019126103539366,1.494881950730488,2.0,0,Treino
